customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_group,monthly_charges_quartile,SeniorCitizen,TotalCharges,has_social_ties,contract_risk_score,is_fiber_optic,num_services,num_protection_services,monthly_charges_zscore,monthly_charges_per_service,tenure_x_contract_risk,charges_to_tenure_ratio,total_to_monthly_ratio
9959-WOFKT,Male,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),No,loyal,Q4,0,7382.25,1,0,1,6,2,1.3938,15.2429,0,1.4819,68.5446
4190-MFLUW,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,new,Q2,0,528.35,1,2,0,3,2,-0.3178,13.8,20,5.0182,9.4012
4183-MYFRB,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,No,developing,Q4,0,1862.9,0,2,1,4,2,0.8404,18.01,42,4.0932,20.4602
8779-QRDMV,Male,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,new,Q2,1,39.65,0,2,0,2,1,-0.8346,13.2167,2,19.825,0.9754
1680-VDCWW,Male,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,new,Q1,0,202.25,1,1,0,1,0,-1.4942,9.9,12,1.5231,9.7236
1066-JKSGK,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,new,Q1,0,20.15,0,2,0,1,0,-1.4826,10.075,2,10.075,0.9527
3638-WEABW,Female,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No,loyal,Q2,0,3505.1,1,0,0,4,2,-0.1616,11.98,0,1.0153,57.555
6322-HRPFA,Male,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),No,loyal,Q2,0,2970.3,1,2,0,4,3,-0.1715,11.92,98,1.192,49.0149
6865-JZNKO,Female,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,established,Q2,0,1530.6,0,2,0,3,2,-0.3144,13.825,60,1.7839,27.1865
6467-CHFZW,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,established,Q4,0,4749.15,1,2,1,5,1,1.1495,16.5583,94,2.0698,47.3259
8665-UTDHZ,Male,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes,new,Q1,0,30.2,1,2,0,1,1,-1.1486,15.1,2,15.1,0.9679
5248-YGIJN,Male,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,loyal,Q4,0,6369.45,1,0,0,8,4,0.8471,10.0278,0,1.2363,69.8022
8773-HHUOZ,Female,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes,developing,Q2,0,1093.1,1,2,0,3,0,-0.0021,16.175,34,3.5944,16.6377
3841-NFECX,Female,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,loyal,Q4,1,6766.95,1,0,1,6,4,1.0498,13.7643,0,1.3382,69.5116
4929-XIHVW,Male,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,new,Q4,1,181.65,1,2,1,4,1,1.0215,19.1,4,31.8333,1.8824
6827-IEAUQ,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,No,established,Q2,0,1874.45,1,1,0,5,4,0.0461,11.025,27,2.3625,27.9144
7310-EGVHZ,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),No,new,Q1,0,20.2,0,2,0,1,0,-1.4809,10.1,2,10.1,0.9528
3413-BMNZE,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No,new,Q2,1,45.25,0,2,0,1,0,-0.6484,22.625,2,22.625,0.9784
6234-RAAPL,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),No,loyal,Q4,0,7251.7,1,0,1,6,3,1.1678,14.2714,0,1.3685,71.8702
6047-YHPVI,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,new,Q2,0,316.9,0,2,1,1,0,0.1641,34.85,10,11.6167,4.4823
6572-ADKRS,Female,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No,established,Q3,0,3548.3,0,2,1,2,1,0.3336,24.9333,92,1.5915,46.8113
5380-WJKOV,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,established,Q4,0,3549.25,0,2,1,6,2,1.3821,15.1929,68,3.0386,33.0624
8168-UQWWF,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,new,Q4,0,1105.4,0,2,1,5,1,1.0996,16.3083,22,8.1542,11.1826
8865-TNMNX,Male,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,No,new,Q2,0,475.7,1,1,0,2,1,-0.5055,16.5167,10,4.5045,9.4105
9489-DEDVP,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),No,loyal,Q2,0,4872.35,1,0,0,5,2,0.1475,11.5333,0,0.9746,69.4067
9867-JCZSP,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No,developing,Q1,0,418.25,1,1,0,1,0,-1.4627,10.375,17,1.1528,19.2299
4671-VJLCL,Female,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No,loyal,Q3,0,4861.45,0,0,0,7,4,0.5014,9.9812,0,1.2477,60.1293
4080-IIARD,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,No,developing,Q3,0,981.45,1,2,0,6,3,0.3801,10.8857,26,5.4429,12.7131
3714-NTNFO,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No,loyal,Q3,0,3906.7,0,2,1,3,0,0.656,21.125,98,1.69,45.6924
5948-UJZLF,Male,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,No,new,Q2,0,97.0,0,2,0,2,1,-0.5155,16.4167,4,16.4167,1.9303
7760-OYPDY,Female,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,new,Q3,0,144.15,0,2,1,2,0,0.528,26.8833,4,26.8833,1.7655
7639-LIAYI,Male,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,loyal,Q3,0,4217.8,0,0,0,6,2,0.4981,11.3929,0,1.5047,52.2328
2954-PIBKO,Female,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,loyal,Q2,0,4254.1,1,0,0,5,3,-0.0203,10.6917,0,0.9164,65.297
8012-SOUDQ,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,established,Q4,1,3838.75,0,2,1,4,1,0.8471,18.05,86,2.0511,42.0685
9420-LOJKX,Female,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,developing,Q4,0,1426.4,0,2,1,5,2,1.1412,16.5167,30,6.1938,14.2498
6575-SUVOI,Female,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No,established,Q2,1,1752.65,1,2,0,5,2,0.1575,11.5833,50,2.6731,24.8603
7495-OOKFY,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes,new,Q3,1,633.3,1,2,1,3,1,0.528,20.1625,16,8.9611,7.7563
4667-QONEA,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No,loyal,Q3,1,4456.35,1,1,0,6,4,0.3353,10.6929,60,1.227,58.7521
1658-BYGOY,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,developing,Q4,1,1752.55,0,2,1,4,0,1.0199,19.09,36,5.0237,18.1706
8769-KKTPH,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No,loyal,Q4,0,6311.2,1,1,1,5,1,1.1595,16.6083,63,1.557,62.7044
5067-XJQFU,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No,loyal,Q4,1,7076.35,1,1,1,7,3,1.4519,13.5562,66,1.6187,64.6537
3957-SQXML,Female,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,established,Q1,0,894.3,1,0,0,2,0,-1.3231,8.3167,0,0.7129,34.4624
5954-BDFSG,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,loyal,Q4,0,7853.7,0,0,1,6,2,1.4203,15.3571,0,1.4726,72.3843
0434-CSFON,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,established,Q4,0,4707.1,1,2,1,5,1,1.1877,16.75,94,2.0938,46.3754
1215-FIGMP,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,loyal,Q4,0,5450.7,0,2,1,4,1,0.8354,17.98,120,1.4738,59.9637
0526-SXDJP,Male,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),No,loyal,Q2,0,2962.0,1,0,0,3,3,-0.7531,10.525,0,0.5767,68.7239
0557-ASKVU,Female,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No,developing,Q2,0,957.1,1,1,0,3,2,-0.3444,13.6,18,2.8632,17.2762
5698-BQJOH,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes,new,Q4,0,857.25,0,2,1,4,0,0.985,18.88,18,9.44,8.9858
5122-CYFXA,Female,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,new,Q3,0,244.1,0,2,0,5,2,0.3502,12.55,6,18.825,3.1992
8627-ZYGSZ,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,No,established,Q3,0,3650.35,1,1,1,3,1,0.4699,19.725,47,1.6438,45.6865
3410-YOQBQ,Female,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,established,Q3,0,2497.2,0,0,0,6,3,0.4798,11.3143,0,2.475,31.1372
3170-NMYVV,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,loyal,Q1,0,930.9,1,0,0,1,0,-1.4826,10.075,0,0.3951,44.0142
7410-OIEDU,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,No,new,Q3,0,887.35,0,2,1,3,2,0.5014,19.9625,20,7.2591,10.9753
2273-QCKXA,Male,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,No,new,Q2,0,49.05,0,2,0,2,1,-0.5222,16.35,2,24.525,0.98
0731-EBJQB,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,No,loyal,Q1,0,1090.65,1,1,0,1,0,-1.4743,10.2,52,0.3849,50.965
1891-QRQSA,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,loyal,Q4,1,7099.0,1,0,1,7,3,1.5566,13.95,0,1.7169,63.0462
8028-PNXHQ,Male,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,loyal,Q1,0,1424.6,1,0,0,2,0,-1.3463,8.0833,0,0.3849,56.4198
5630-AHZIL,Female,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,new,Q2,0,177.4,1,2,0,4,2,-0.0087,12.9,6,16.125,2.7084
2673-CXQEU,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,No,loyal,Q4,1,6139.5,0,1,1,7,3,1.52,13.8125,56,1.9386,55.0628
6416-JNVRK,Female,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),No,established,Q2,0,2688.85,0,1,0,2,0,-0.3028,18.55,46,1.184,47.4643
5590-ZSKRV,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,No,new,Q2,0,482.25,1,2,0,3,2,-0.336,13.6625,16,6.0722,8.6658
0191-ZHSKZ,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,established,Q3,1,2111.3,0,2,0,5,2,0.3319,12.4583,60,2.4113,27.8719
3887-PBQAO,Female,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),No,established,Q1,0,1216.6,1,1,0,2,0,-1.2915,8.6333,45,0.563,45.2268
5919-TMRGD,Female,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,new,Q3,0,79.35,1,2,1,2,0,0.4848,26.45,2,39.675,0.9876
8108-UXRQN,Female,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,No,new,Q2,0,565.35,1,2,0,3,1,-0.4723,12.6375,22,4.2125,10.967
9191-MYQKX,Female,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,new,Q3,0,496.9,1,2,1,2,1,0.3452,25.05,14,9.3938,6.5253
9919-YLNNG,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,established,Q4,0,4327.5,0,2,1,6,3,1.2974,14.8286,84,2.414,41.2929
0318-ZOPWS,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,loyal,Q1,0,973.35,1,0,0,1,0,-1.4826,10.075,0,0.403,46.0213
4445-ZJNMU,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,new,Q4,0,918.75,0,2,1,5,1,1.1478,16.55,18,9.93,9.16
4808-YNLEU,Female,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),No,established,Q2,0,2215.45,1,1,0,3,1,-0.0868,15.5375,35,1.7264,35.0823
1862-QRWPE,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,established,Q1,0,1057.0,1,0,0,1,0,-1.466,10.325,0,0.4214,48.8222
2796-NNUFI,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,No,established,Q1,0,927.1,1,0,0,1,0,-1.4893,9.975,0,0.4245,44.253
3016-KSVCP,Male,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,No,established,Q1,0,1009.25,1,2,0,1,0,-1.0306,16.875,58,1.125,29.0432
4767-HZZHQ,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),No,established,Q3,0,2570.2,1,2,1,3,2,0.5746,20.5125,60,2.6468,30.9476
2424-WVHPL,Male,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No,new,Q3,1,74.7,0,2,1,2,1,0.3303,24.9,2,37.35,0.9868
7233-PAHHL,Male,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No,loyal,Q3,0,5714.25,1,0,0,7,3,0.6394,10.5,0,1.2537,67.2265
6067-NGCEU,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,loyal,Q4,0,7107.0,0,2,1,7,3,1.5383,13.8812,130,1.6826,63.427
9848-JQJTX,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,loyal,Q4,0,7459.05,0,0,1,6,2,1.201,14.4143,0,1.3822,73.1997
8637-XJIVR,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,new,Q3,0,927.35,0,2,1,3,1,0.4715,19.7375,24,6.0731,11.5991
9803-FTJCG,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),No,loyal,Q2,0,4748.7,1,1,0,5,3,0.0694,11.1417,71,0.9285,69.9882
0278-YXOOG,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,new,Q1,0,113.85,0,2,0,1,0,-1.4527,10.525,10,3.5083,5.1633
3212-KXOCR,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,loyal,Q1,0,1107.2,0,0,0,1,0,-1.4544,10.5,0,0.3962,50.3273
4598-XLKNJ,Female,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,established,Q4,1,2514.5,1,2,1,5,2,1.1212,16.4167,50,3.7885,25.2714
6380-ARCEH,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,new,Q1,0,20.2,0,2,0,1,0,-1.4809,10.1,2,10.1,0.9528
3679-XASPY,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,No,new,Q1,0,19.45,1,2,0,1,0,-1.5059,9.725,2,9.725,0.9511
7123-WQUHX,Male,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),No,established,Q4,0,3605.6,0,1,1,5,2,1.0049,15.8333,38,2.4359,37.5583
5386-THSLQ,Female,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),No,loyal,Q2,1,3027.25,1,1,0,3,2,-0.6385,11.3875,66,0.6799,65.0322
3192-NQECA,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes,loyal,Q4,0,7611.85,1,0,1,7,3,1.5034,13.75,0,1.5942,68.5752
6180-YBIQI,Male,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,new,Q1,0,100.2,0,2,0,0,0,-1.3447,24.3,10,4.05,3.9605
6728-DKUCO,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No,loyal,Q4,0,7303.05,1,1,1,6,2,1.309,14.8786,72,1.4267,69.4536
9750-BOOHV,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,No,established,Q1,0,927.65,0,1,0,1,1,-1.1503,15.075,32,0.9136,29.7801
8597-CWYHH,Male,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,No,established,Q4,0,3921.3,0,1,1,4,0,0.9833,18.87,43,2.1443,41.1253
2848-YXSMW,Male,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,loyal,Q1,0,1363.25,1,0,0,1,0,-1.5075,9.7,0,0.2658,66.826
0486-HECZI,Male,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes,loyal,Q4,0,5238.9,1,2,1,5,2,1.0631,16.125,110,1.7277,53.5949
4549-ZDQYY,Female,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No,loyal,Q2,0,3042.25,0,1,0,4,3,-0.2264,11.59,52,1.0934,51.6073
5712-AHQNN,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,No,established,Q4,0,3954.1,0,2,1,4,2,0.8936,18.33,86,2.083,42.6778
4846-WHAFZ,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,established,Q3,1,2868.15,1,2,1,2,0,0.3901,25.5,74,2.0132,37.0084
5256-SKJGO,Female,Yes,Yes,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No,loyal,Q2,0,3423.5,1,0,0,4,2,-0.3377,10.92,0,0.84,61.5737
3071-VBYPO,Male,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No,new,Q3,0,248.4,1,2,1,4,2,0.8338,17.97,6,22.4625,2.7342
9560-BBZXK,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No,established,Q1,0,1126.35,0,0,0,1,1,-1.1204,15.525,0,0.8392,35.1435
5299-RULOA,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,new,Q4,0,1064.65,1,2,1,5,1,1.1794,16.7083,20,9.1136,10.5151
8402-OOOHJ,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,established,Q1,0,835.15,0,0,0,1,0,-1.466,10.325,0,0.4917,38.5751
